"Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","LKT","NumBases","PctFromCtg","CumSum","PctCumSum","NumContigs","ContigSum","LargestContigSize","N50","L50","N90","ProbNumGenomes","Num16S"
"d__Archaea","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Natrialbales","f__Natrialbaceae","g__Natronobacterium","s__Natronobacterium_gregoryi","LKT__s__Natronobacterium_gregoryi",995418789,100,41491949910,91.62,110,3724502,207286,68760,94,19413,1,1
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Olsenella","s__Olsenella_uli","LKT__s__Olsenella_uli",928657352,100,42420607262,93.67,13,2053706,1023904,332066,12,117358,0.96,2
"d__Archaea","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Natrialbales","f__Natrialbaceae","g__Halovivax","s__Halovivax_ruber","LKT__s__Halovivax_ruber",692126085,100,43112733347,95.19,13,3218456,1188654,923629,12,102843,1,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Stutzerimonas","s__Stutzerimonas_stutzeri","LKT__s__Stutzerimonas_stutzeri",654189692,100,43766923039,96.64,36,4557414,551087,340796,31,149811,0.99,1
"d__Bacteria","k__Bacteria","p__Bacteroidota","c__Cytophagia","o__Cytophagales","f__Cyclobacteriaceae","g__Echinicola","s__Echinicola_vietnamensis","LKT__s__Echinicola_vietnamensis",290781879,100,44057704918,97.28,83,5545183,450675,141884,72,42469,0.99,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella","s__Salmonella_enterica","LKT__s__Salmonella_enterica",235449277,100,44293154195,97.8,352,4662817,107514,27400,307,6705,0.96,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__Acetivibrio_thermocellus","LKT__s__Acetivibrio_thermocellus",208197553,100,44501351748,98.26,162,3681144,186799,65028,146,19222,1.03,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Streptococcus_pyogenes","LKT__s__Streptococcus_pyogenes",206181055,100,44707532803,98.72,32,1811713,290613,218393,29,39168,1.01,1
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Clostridium_perfringens","LKT__s__Clostridium_perfringens",204719690,100,44912252493,99.17,23,3216463,2054944,2054944,23,74578,0.96,1
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__Corynebacterium_glutamicum","LKT__s__Corynebacterium_glutamicum",136708660,100,45048961153,99.47,54,3258619,482896,132449,48,38842,1,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","s__Escherichia_coli","LKT__s__Escherichia_coli",82019702,100,45130980855,99.65,92,4165054,193082,80249,76,22860,0.82,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella","s__Salmonella_bongori","LKT__s__Salmonella_bongori",68502416,100,45199483271,99.8,363,4694633,161354,26698,315,6038,1.05,0
"d__Bacteria","k__Bacteria","p__Thermotogae","c__Thermotogae","o__Thermotogales","f__Fervidobacteriaceae","g__Fervidobacterium","s__Unclassified","LKT__g__Fervidobacterium",54886879,100,45254370150,99.92,1,1061,1061,1061,1,1061,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Hyphomicrobiales","f__Stappiaceae","g__Pseudovibrio","s__Pseudovibrio_exalbescens","LKT__s__Pseudovibrio_exalbescens",8305945,100,45262676095,99.94,2079,1718203,4316,818,1348,564,0.41,2
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Desulfitobacteriaceae","g__Desulfosporosinus","s__Unclassified","LKT__g__Desulfosporosinus",6984660,100,45269660755,99.96,1,762,762,762,1,762,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Paenibacillaceae","g__Unclassified","s__Unclassified","LKT__f__Paenibacillaceae",6881799,100,45276542554,99.97,1,1377,1377,1377,1,1377,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Paenibacillaceae","g__Thermobacillus","s__Unclassified","LKT__g__Thermobacillus",3812720,100,45280355274,99.98,1,1635,1635,1635,1,1635,0,0
"d__Archaea","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Natrialbales","f__Natrialbaceae","g__Natronococcus","s__Unclassified","LKT__g__Natronococcus",2386367,100,45282741641,99.99,2,1536,967,967,2,569,0,1
"d__Bacteria","k__Bacteria","p__Unclassified","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__k__Bacteria",1630065,100,45284371706,99.99,12,12914,2891,1410,10,542,0,1
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Unclassified","s__Unclassified","LKT__f__Enterobacteriaceae",1184145,100,45285555851,99.99,19,44726,5527,4239,15,1185,0.01,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Unclassified","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__p__Firmicutes",985327,100,45286541178,99.99,2,2044,1313,1313,2,731,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Acetivibrio","s__Unclassified","LKT__g__Acetivibrio",610253,100,45287151431,99.99,5,7393,2389,1592,4,926,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Unclassified","s__Unclassified","LKT__f__Pseudomonadaceae",435727,100,45287587158,100,3,2693,1120,836,2,737,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Escherichia","s__Unclassified","LKT__g__Escherichia",378304,100,45287965462,100,9,15307,4277,2073,7,713,0,0
"d__Archaea","k__Archaea","p__Euryarchaeota","c__Halobacteria","o__Natrialbales","f__Natrialbaceae","g__Halovivax","s__Unclassified","LKT__g__Halovivax",323402,100,45288288864,100,1,666,666,666,1,666,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Oscillospiraceae","g__Unclassified","s__Unclassified","LKT__f__Oscillospiraceae",201479,100,45288490343,100,1,2248,2248,2248,1,2248,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium","s__Unclassified","LKT__g__Corynebacterium",166168,100,45288656511,100,1,1337,1337,1337,1,1337,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Unclassified","f__Unclassified","g__Unclassified","s__Unclassified","LKT__c__Gammaproteobacteria",159245,100,45288815756,100,5,7450,3294,1445,4,760,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Enterobacteriaceae","g__Salmonella","s__Unclassified","LKT__g__Salmonella",154816,100,45288970572,100,4,2818,849,848,3,511,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Streptococcus","s__Unclassified","LKT__g__Streptococcus",122156,100,45289092728,100,1,592,592,592,1,592,0,0
"d__Bacteria","k__Bacteria","p__Firmicutes","c__Clostridia","o__Eubacteriales","f__Clostridiaceae","g__Clostridium","s__Unclassified","LKT__g__Clostridium",85186,100,45289177914,100,1,591,591,591,1,591,0,0
"d__Bacteria","k__Bacteria","p__Actinobacteria","c__Actinomycetia","o__Streptomycetales","f__Streptomycetaceae","g__Streptomyces","s__Streptomyces_Unclassified_TLI_185","LKT__s__Streptomyces_Unclassified_TLI_185",77561,100,45289255475,100,1,623,623,623,1,623,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__Unclassified","g__Unclassified","s__Unclassified","LKT__o__Enterobacterales",54768,100,45289310243,100,3,3851,2484,2484,3,594,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_lundensis","LKT__s__Pseudomonas_lundensis",43815,100,45289354058,100,1,2886,2886,2886,1,2886,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Xanthomonadaceae","g__Lysobacter","s__Lysobacter_enzymogenes","LKT__s__Lysobacter_enzymogenes",35870,100,45289389928,100,20,11802,790,565,12,518,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Unclassified","LKT__g__Pseudomonas",31901,100,45289421829,100,4,3544,1466,787,3,530,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_aeruginosa","LKT__s__Pseudomonas_aeruginosa",11067,100,45289432896,100,3,2760,1196,927,2,637,0,0
"d__Eukaryota","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__Saccharomyces_cerevisiae","LKT__s__Saccharomyces_cerevisiae",4683,100,45289437579,100,1,607,607,607,1,607,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_parakoreensis","LKT__s__Pseudomonas_parakoreensis",2706,100,45289440285,100,2,1117,600,600,2,517,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_avellanae","LKT__s__Pseudomonas_avellanae",2208,100,45289442493,100,1,540,540,540,1,540,0,0
"d__Eukaryota","k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Saccharomyces","s__Unclassified","LKT__g__Saccharomyces",1936,100,45289444429,100,1,548,548,548,1,548,0,0
"d__Bacteria","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Pseudomonadaceae","g__Pseudomonas","s__Pseudomonas_fluorescens","LKT__s__Pseudomonas_fluorescens",1716,100,45289446145,100,1,515,515,515,1,515,0,0
