Species,RA
Phascolarctobacterium,1.4315110800603011e-05
Yersinia,1.4150569297147804e-05
Lachnoanaerobaculum,1.3986027793692598e-05
Falsirhodobacter,1.3821486290237391e-05
Streptobacillus,1.2998778772961356e-05
Hespellia,1.2505154262595734e-05
Ruminiclostridium,1.2011529752230114e-05
Bariatricus,1.1682446745319699e-05
Traorella,1.1517905241864492e-05
Carboxydothermus,1.1517905241864492e-05
Actinophytocola,1.1517905241864492e-05
Paenibacillus,1.1188822234954079e-05
Actinopolyspora,1.1188822234954079e-05
Stomatobaculum,1.102428073149887e-05
Allobaculum,1.0859739228043664e-05
Coprobacillus,1.053065622113325e-05
Riemerella,1.0366114717678044e-05
Slackia,1.0201573214222835e-05
Holdemanella,9.543407200402008e-06
Rahnella,9.3788656969468e-06
Candidatus Arthromitus,9.049782690036387e-06
Candidatus Endobugula,9.049782690036387e-06
Sodalis,8.062533669305145e-06
Chania,7.897992165849938e-06
Paludibacter,7.404367655484316e-06
Providencia,7.404367655484316e-06
Moellerella,7.404367655484316e-06
Dysgonomonas,7.404367655484316e-06
Nissabacter,7.23982615202911e-06
Sellimonas,6.746201641663488e-06
Merdibacter,6.581660138208281e-06
Lysobacter,6.581660138208281e-06
Arsenophonus,6.581660138208281e-06
Enorma,6.581660138208281e-06
Tidjanibacter,6.4171186347530745e-06
Plesiomonas,6.4171186347530745e-06
Candidatus Endoriftia,5.923494124387453e-06
Tatumella,5.758952620932246e-06
Neglecta,5.594411117477039e-06
Brenneria,5.594411117477039e-06
Massilioclostridium,5.594411117477039e-06
Edwardsiella,5.429869614021832e-06
Proteus,5.429869614021832e-06
Lachnobacterium,5.429869614021832e-06
Candidatus Magnetomorum,5.265328110566625e-06
Acetitomaculum,5.100786607111418e-06
Johnsonella,5.100786607111418e-06
Enterococcus,5.100786607111418e-06
Megasphaera,5.100786607111418e-06
Solobacterium,4.936245103656211e-06
Libanicoccus,4.936245103656211e-06
Proteiniphilum,4.607162096745797e-06
Marvinbryantia,4.607162096745797e-06
Selenomonas,4.607162096745797e-06
Roseimaritima,4.44262059329059e-06
Petrimonas,4.44262059329059e-06
Oribacterium,4.44262059329059e-06
Macellibacteroides,4.44262059329059e-06
Candidatus Azobacteroides,4.2780790898353825e-06
Hafnia,4.2780790898353825e-06
Hathewaya,4.2780790898353825e-06
Parascardovia,4.2780790898353825e-06
Robinsoniella,3.948996082924969e-06
Sharpea,3.948996082924969e-06
Neisseria,3.948996082924969e-06
Asaccharospora,3.7844545794697615e-06
Streptococcus,3.619913076014555e-06
Leucobacter,3.4553715725593477e-06
Heliobacterium,3.2908300691041406e-06
Lascolabacillus,3.2908300691041406e-06
Ewingella,3.2908300691041406e-06
Olsenella,3.1262885656489335e-06
Butyricimonas,2.9617470621937264e-06
Cutibacterium,2.9617470621937264e-06
Exiguobacterium,2.9617470621937264e-06
Pediococcus,2.7972055587385197e-06
Enterorhabdus,2.7972055587385197e-06
Phocea,2.7972055587385197e-06
Cellulomonas,2.7972055587385197e-06
Desnuesiella,2.6326640552833126e-06
Lonsdalea,2.6326640552833126e-06
Izhakiella,2.6326640552833126e-06
Fermentimonas,2.4681225518281055e-06
Drancourtella,2.4681225518281055e-06
Nitrolancea,2.3035810483728983e-06
Eggerthella,2.3035810483728983e-06
Staphylococcus,2.1390395449176912e-06
Peptoniphilus,2.1390395449176912e-06
Gabonia,1.9744980414624845e-06
Turicibacter,1.6454150345520703e-06
Coriobacterium,1.6454150345520703e-06
Oxalobacter,1.6454150345520703e-06
Aeromonas,1.6454150345520703e-06
Streptomyces,1.4808735310968632e-06
Dialister,1.3163320276416563e-06
Pontibacillus,1.3163320276416563e-06
Beduini,1.3163320276416563e-06
Anaerococcus,1.1517905241864492e-06
Parasporobacterium,1.1517905241864492e-06
Flavobacterium,1.1517905241864492e-06
Proteiniclasticum,1.1517905241864492e-06
Phocaeicola,1.1517905241864492e-06
Intestinibacter,1.1517905241864492e-06
Anaerosporobacter,9.872490207312423e-07
Candidatus Stoquefichus,9.872490207312423e-07
Pragia,9.872490207312423e-07
Avibacterium,8.227075172760352e-07
Paraburkholderia,8.227075172760352e-07
Mycobacterium,8.227075172760352e-07
Rouxiella,8.227075172760352e-07
Mageeibacillus,8.227075172760352e-07
Skermanella,8.227075172760352e-07
Pseudomonas,6.581660138208281e-07
Salinivibrio,6.581660138208281e-07
Desulfosporosinus,6.581660138208281e-07
Varibaculum,6.581660138208281e-07
Lachnospira,6.581660138208281e-07
Vibrio,6.581660138208281e-07
Raphidiopsis,6.581660138208281e-07
Rhodococcus,6.581660138208281e-07
Synechococcus,6.581660138208281e-07
Budvicia,4.936245103656211e-07
Defluviitalea,4.936245103656211e-07
Asticcacaulis,4.936245103656211e-07
Rosenbergiella,4.936245103656211e-07
Catenibacterium,4.936245103656211e-07
Catonella,4.936245103656211e-07
Peptostreptococcus,3.2908300691041407e-07
Youngiibacter,3.2908300691041407e-07
Grimontia,3.2908300691041407e-07
Gemmata,3.2908300691041407e-07
Sediminibacter,3.2908300691041407e-07
Fusobacterium,3.2908300691041407e-07
Zhongshania,3.2908300691041407e-07
Oenococcus,3.2908300691041407e-07
Candidatus Regiella,3.2908300691041407e-07
Catellicoccus,3.2908300691041407e-07
Eisenbergiella,3.2908300691041407e-07
Adlercreutzia,1.6454150345520704e-07
Photorhabdus,1.6454150345520704e-07
Burkholderia,1.6454150345520704e-07
Acidilobus,1.6454150345520704e-07
Aggregatibacter,1.6454150345520704e-07
Novosphingobium,1.6454150345520704e-07
Candidatus Marithrix,1.6454150345520704e-07
Shuttleworthia,1.6454150345520704e-07
Thiothrix,1.6454150345520704e-07
Candidatus Schmidhempelia,1.6454150345520704e-07
Mitsuokella,1.6454150345520704e-07
Bibersteinia,1.6454150345520704e-07
Lacinutrix,1.6454150345520704e-07
Phaseolibacter,1.6454150345520704e-07
Pseudoalteromonas,1.6454150345520704e-07
Gynuella,1.6454150345520704e-07
Pasteurella,1.6454150345520704e-07
Sphingobacterium,1.6454150345520704e-07
Actinobacillus,1.6454150345520704e-07
Anaerocolumna,1.6454150345520704e-07
Geofilum,1.6454150345520704e-07
Atopobium,1.6454150345520704e-07
Borrelia,1.6454150345520704e-07
Photobacterium,1.6454150345520704e-07
Piscirickettsia,1.6454150345520704e-07
Cosenzaea,1.6454150345520704e-07
Arenimonas,1.6454150345520704e-07
