Genus,RA,TAX_ID
Saccharospirillum,3.829486008302709e-07,231683
Halomonas,3.829486008302709e-07,2745
Rhodanobacter,3.829486008302709e-07,75309
Xylella,3.829486008302709e-07,2370
Rahnella,3.829486008302709e-07,34037
Providencia,3.829486008302709e-07,586
Mycoplasmopsis,3.829486008302709e-07,2767358
Paeniclostridium,3.829486008302709e-07,1849828
Rosistilla,3.829486008302709e-07,2795779
Dehalococcoides,3.829486008302709e-07,61434
Spiroplasma,3.829486008302709e-07,2132
Micromonospora,3.829486008302709e-07,1873
Stygiolobus,3.829486008302709e-07,41674
Candidatus Moranella,3.829486008302709e-07,1048757
Mycetocola,3.829486008302709e-07,76634
Rufibacter,3.829486008302709e-07,1379908
Levilactobacillus,3.829486008302709e-07,2767886
Pediococcus,3.829486008302709e-07,1253
Candidatus Doolittlea,3.829486008302709e-07,1906657
Candidatus Profftia,3.829486008302709e-07,1177214
Actinomyces,3.829486008302709e-07,1654
Anaerocolumna,3.829486008302709e-07,1843210
Endomicrobium,1.9147430041513544e-07,1408194
Thiomonas,1.9147430041513544e-07,32012
Thermosulfidibacter,1.9147430041513544e-07,412592
Tannerella,1.9147430041513544e-07,195950
Mesotoga,1.9147430041513544e-07,1184396
Flexistipes,1.9147430041513544e-07,2351
Azoarcus,1.9147430041513544e-07,12960
Pedobacter,1.9147430041513544e-07,84567
Massilia,1.9147430041513544e-07,149698
Acetivibrio,1.9147430041513544e-07,35829
Hyphomonas,1.9147430041513544e-07,85
Candidatus Sneabacter,1.9147430041513544e-07,2601645
Candidatus Fonsibacter,1.9147430041513544e-07,2045213
Candidatus Pelagibacter,1.9147430041513544e-07,198251
Skermanella,1.9147430041513544e-07,204447
Asaia,1.9147430041513544e-07,91914
Cereibacter,1.9147430041513544e-07,1653176
Paracoccus,1.9147430041513544e-07,265
Mageeibacillus,1.9147430041513544e-07,1637257
Methanocella,1.9147430041513544e-07,570266
Atribacter,1.9147430041513544e-07,2847777
Natranaerofaba,1.9147430041513544e-07,2807497
Luteitalea,1.9147430041513544e-07,2004797
Heliorestis,1.9147430041513544e-07,79598
Thermaerobacter,1.9147430041513544e-07,73918
Pontibacter,1.9147430041513544e-07,323449
Tenacibaculum,1.9147430041513544e-07,104267
Polaribacter,1.9147430041513544e-07,52959
Runella,1.9147430041513544e-07,105
Aequorivita,1.9147430041513544e-07,153265
Winogradskyella,1.9147430041513544e-07,286104
Zunongwangia,1.9147430041513544e-07,417127
Nonlabens,1.9147430041513544e-07,363408
Saprospira,1.9147430041513544e-07,1007
Serpentinicella,1.9147430041513544e-07,1890059
Halothermothrix,1.9147430041513544e-07,32636
Caldithrix,1.9147430041513544e-07,187144
Ignavibacterium,1.9147430041513544e-07,795750
Paraclostridium,1.9147430041513544e-07,1849822
Tenuifilum,1.9147430041513544e-07,2760873
Petrimonas,1.9147430041513544e-07,307628
Gimesia,1.9147430041513544e-07,1649453
Duncaniella,1.9147430041513544e-07,2518495
Candidatus Velamenicoccus,1.9147430041513544e-07,2789201
Romboutsia,1.9147430041513544e-07,1501226
Moorella,1.9147430041513544e-07,44260
Oceanispirochaeta,1.9147430041513544e-07,2035349
Fusobacterium,1.9147430041513544e-07,848
Sphingomonas,1.9147430041513544e-07,13687
Oceanobacillus,1.9147430041513544e-07,182709
Aurantiacibacter,1.9147430041513544e-07,2800681
Weissella,1.9147430041513544e-07,46255
Erysipelothrix,1.9147430041513544e-07,1647
Herbinix,1.9147430041513544e-07,1663717
Pectinatus,1.9147430041513544e-07,864
Suicoccus,1.9147430041513544e-07,2689587
Vagococcus,1.9147430041513544e-07,2737
Oenococcus,1.9147430041513544e-07,46254
Bombilactobacillus,1.9147430041513544e-07,2767878
Symbiopectobacterium,1.9147430041513544e-07,801
Erythrobacter,1.9147430041513544e-07,1041
Candidatus Ishikawaella,1.9147430041513544e-07,409304
Staphylospora,1.9147430041513544e-07,2689589
Ewingella,1.9147430041513544e-07,41201
Gibbsiella,1.9147430041513544e-07,929812
Sporolactobacillus,1.9147430041513544e-07,2077
Tumebacillus,1.9147430041513544e-07,432330
Alicyclobacillus,1.9147430041513544e-07,29330
Raineyella,1.9147430041513544e-07,1911549
Mycolicibacillus,1.9147430041513544e-07,2126281
Nocardia,1.9147430041513544e-07,1817
Gordonia,1.9147430041513544e-07,2053
Planktothrix,1.9147430041513544e-07,54304
Raoultibacter,1.9147430041513544e-07,1926677
Deinococcus,1.9147430041513544e-07,1298
Mycoplasma,1.9147430041513544e-07,2093
Caldilinea,1.9147430041513544e-07,233191
Phototrophicus,1.9147430041513544e-07,2922426
Fimbriimonas,1.9147430041513544e-07,1005038
Parafannyhessea,1.9147430041513544e-07,2847312
Modestobacter,1.9147430041513544e-07,88138
Frankia,1.9147430041513544e-07,1854
Actinoplanes,1.9147430041513544e-07,1865
Amycolatopsis,1.9147430041513544e-07,1813
Cellulosimicrobium,1.9147430041513544e-07,157920
Microbacterium,1.9147430041513544e-07,33882
Agromyces,1.9147430041513544e-07,33877
Photorhabdus,1.9147430041513544e-07,29487
Aneurinibacillus,1.9147430041513544e-07,55079
Brenneria,1.9147430041513544e-07,71655
Thiohalobacter,1.9147430041513544e-07,1273155
Steroidobacter,1.9147430041513544e-07,469322
Histophilus,1.9147430041513544e-07,214906
Thiomicrorhabdus,1.9147430041513544e-07,2039723
Anabaena,1.9147430041513544e-07,1163
Anoxybacillus,1.9147430041513544e-07,150247
Geobacillus,1.9147430041513544e-07,129337
Anaerobacillus,1.9147430041513544e-07,704093
Desulfuromonas,1.9147430041513544e-07,890
Geobacter,1.9147430041513544e-07,28231
Psychrobacillus,1.9147430041513544e-07,1221880
Fictibacillus,1.9147430041513544e-07,1329200
Salisediminibacterium,1.9147430041513544e-07,1434042
Tardiphaga,1.9147430041513544e-07,1395974
Parageobacillus,1.9147430041513544e-07,1906945
Paenalkalicoccus,1.9147430041513544e-07,2944627
Kangiella,1.9147430041513544e-07,261963
Spiribacter,1.9147430041513544e-07,1335745
Dickeya,1.9147430041513544e-07,204037
Candidatus Nardonella,1.9147430041513544e-07,204619
Lonsdalea,1.9147430041513544e-07,1082702
Hafnia,1.9147430041513544e-07,568
Edwardsiella,1.9147430041513544e-07,635
Obesumbacterium,1.9147430041513544e-07,82982
Nosocomiicoccus,1.9147430041513544e-07,489909
Oceanisphaera,1.9147430041513544e-07,225143
Macrococcus,1.9147430041513544e-07,69965
Photobacterium,1.9147430041513544e-07,657
Thaumasiovibrio,1.9147430041513544e-07,2014233
Agarivorans,1.9147430041513544e-07,261825
Paraglaciecola,1.9147430041513544e-07,1621534
Alteromonas,1.9147430041513544e-07,226
Shewanella,1.9147430041513544e-07,22
Psychromonas,1.9147430041513544e-07,67572
Luteimonas,1.9147430041513544e-07,83614
Cellulosilyticum,1.9147430041513544e-07,698776
