SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,combined_name,num_seqs,sum_len,min_len,avg_len,max_len,num_seqs_stddev,sum_len_stddev,min_len_stddev,avg_len_stddev,max_len_stddev
S1,1344.0,0.7774,0.0005,94.7691,0.6854,0.0045,86.8421,8.9715,woltka,0.0,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,1107.0,0.7669,0.0006,96.8716,0.645,0.0063,80.9524,31.1255,woltka,0.0,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,801.0,0.40814000000000006,0.0002,66.54252,0.5332600000000001,0.0024800000000000004,100.0,22.95946,woltka,0.0,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,943.2,0.5388000000000001,0.0002,79.45856,0.59878,0.0011,100.0,28.2283,woltka,0.0,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,4904.0,0.1129,0.0003,153.0058,0.3314,0.0054,71.4286,60.0108,woltka,0.0,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,3743.0,0.0127,0.0005,131.1544,0.1267,0.0117,72.7273,85.4903,woltka,0.0,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,3355.0,0.3045,0.0004,125.0096,0.3426,0.0075,72.7273,61.3277,woltka,0.0,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,3880.0,0.0731,0.0004,132.7409,0.2817,0.0092,72.7273,69.9987,woltka,0.0,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,2958.0,0.6488,0.0003,118.6764,0.6228,0.0061,72.7273,20.6931,woltka,0.0,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,2916.5,0.5208499999999999,8.333333333333333e-05,150.01503333333335,0.5335166666666668,0.0005666666666666666,100.0,27.22696666666667,woltka,0.0,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,15.0,0.1578,0.0973,25.9132,0.2702,0.1716,33.3333,2.6303,biobakery4,1e-05,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,42.0,0.9939,0.0023,8.6524,0.9511,0.0052,100.0,0.5299,biobakery4,1e-05,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,23.0,0.9609,0.0066,3.5362,0.9239,0.0181,95.2381,0.3264,biobakery4,1e-05,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,17.4,0.9065999999999999,0.0030800000000000003,5.549460000000001,0.866,0.0059,100.0,0.01106,biobakery4,1e-05,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
,19.0,0.29650000000000004,0.004440000000000001,6.10042,0.7875400000000001,0.0061200000000000004,100.0,3.8641199999999998,biobakery4,1e-05,mixed,mixed,2012091.00 ,403848279.20 ,100.00 ,200.71 ,205.00 , 184747.85, 37416661.58, 0.00, 1.55, 0.00
EG,21.0,0.131,0.0332,16.591,0.6519,0.0524,71.4286,26.6753,biobakery4,1e-05,nist,EG_nist,3353278.00 ,282025983.00 ,15.00 ,84.10 ,151.00 , 0.00, 3833426.68, 0.00, 1.13, 0.00
MIX-A,17.0,0.2808,0.0446,18.2535,0.6211,0.1121,63.6364,37.807,biobakery4,1e-05,nist,MIX-A_nist,3473553.00 ,365925482.50 ,19.00 ,105.35 ,151.00 , 0.00, 2529868.96, 5.66, 0.78, 0.00
MIX-B,18.0,0.0968,0.0619,20.701,0.443,0.1258,54.5455,52.6298,biobakery4,1e-05,nist,MIX-B_nist,3583192.00 ,376371686.50 ,18.50 ,105.05 ,151.00 , 0.00, 2769876.56, 4.95, 0.78, 0.00
MIX-C,14.0,0.2719,0.0507,15.5841,0.6453,0.1118,63.6364,32.0567,biobakery4,1e-05,nist,MIX-C_nist,2974354.00 ,325816856.00 ,16.50 ,109.55 ,151.00 , 0.00, 2268975.55, 2.12, 0.78, 0.00
MIX-D,13.0,0.9395,0.0182,11.4068,0.8819,0.0312,63.6364,3.5469,biobakery4,1e-05,nist,MIX-D_nist,3278203.00 ,373347674.50 ,20.00 ,113.85 ,151.00 , 0.00, 2103394.48, 7.07, 0.64, 0.00
,24.0,0.7214999999999999,0.0018166666666666663,6.9883999999999995,0.8671166666666666,0.0029999999999999996,100.0,12.230583333333334,biobakery4,1e-05,tourlousse,tourlousse,5897627.83 ,855639825.08 ,15.00 ,145.12 ,151.00 , 378678.85, 51884672.55, 0.00, 1.31, 0.00
S1,53.0,0.1596,0.0239,35.5864,0.3655,0.0566,50.0,50.0747,jams,1e-05,bmock12,S1_bmock12,100500000.00 ,15175500000.00 ,151.00 ,151.00 ,151.00 , 0.00, 0.00, 0.00, 0.00, 0.00
S1,124.0,0.9629,0.0019,14.8592,0.8848,0.006,97.3684,1.6532,jams,1e-05,camisimGI,S1_camisimGI,16666158.00 ,2473504212.50 ,31.00 ,148.45 ,150.00 , 0.00, 12668039.31, 0.00, 0.78, 0.00
S2,38.0,0.9482,0.0061,7.6839,0.8847,0.015,95.2381,0.3307,jams,1e-05,camisimGI,S2_camisimGI,16666291.00 ,2473723888.00 ,31.00 ,148.45 ,150.00 , 0.00, 12664634.59, 0.00, 0.78, 0.00
,47.0,0.91558,0.00162,11.66508,0.80962,0.00412,98.94736,0.41289999999999993,jams,1e-05,hilo,hilo,1899005.80 ,380831440.00 ,100.00 ,200.54 ,205.00 , 172132.60, 34742124.05, 0.00, 1.93, 0.00
