SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Unclassified,Num_FP,Pipeline,threshold,Source
SRR17380241,32,0.5234,0.0149,8.0323,0.7609,0.0206,100.0,7.0001,0.0294865317760047,13.0,jams,0.0001,tourlousse
SRR17380242,33,0.5285,0.0144,8.5517,0.7617,0.0207,100.0,6.3413,0.034365165268505,14.0,jams,0.0001,tourlousse
SRR17380243,30,0.4728,0.0158,7.5641,0.7631,0.0219,100.0,6.1978,0.034943329869075,11.0,jams,0.0001,tourlousse
SRR17380244,33,0.5357,0.0143,8.0522,0.7636,0.0205,100.0,6.6578,0.0278855887613384,14.0,jams,0.0001,tourlousse
SRR17380245,36,0.5698,0.0132,8.6561,0.7618,0.0196,100.0,6.3117,0.0346106452438869,17.0,jams,0.0001,tourlousse
SRR17380246,35,0.5534,0.0138,8.1048,0.759,0.02,100.0,6.8265,0.0327163710896354,16.0,jams,0.0001,tourlousse
SRR17380241,23,0.2253,0.0206,6.2025,0.7636,0.0247,94.7368,7.1134,0.013484413139987,4.0,jams202212,0.0001,tourlousse
SRR17380242,22,0.1639,0.0212,5.3021,0.7671,0.0251,94.7368,6.2456,0.0159012283960166,3.0,jams202212,0.0001,tourlousse
SRR17380243,22,0.1808,0.021,5.3154,0.7691,0.0248,94.7368,5.8686,0.0144282702828816,3.0,jams202212,0.0001,tourlousse
SRR17380244,22,0.1691,0.0212,5.0883,0.7673,0.0248,94.7368,6.1838,0.0154277914791105,3.0,jams202212,0.0001,tourlousse
SRR17380245,23,0.2413,0.0203,6.0955,0.7666,0.0245,94.7368,6.4165,0.0146233703425917,4.0,jams202212,0.0001,tourlousse
SRR17380246,23,0.2374,0.0205,6.1966,0.764,0.0242,94.7368,6.5701,0.0166935207492544,4.0,jams202212,0.0001,tourlousse
SRR17380241,34,0.5905,0.0129,8.2953,0.7809,0.0208,100.0,0.906,0.0062904746646202,15.0,sunbeam,0.0001,tourlousse
SRR17380242,34,0.586,0.0129,8.4444,0.7805,0.021,100.0,0.8926,0.0064892843351626,15.0,sunbeam,0.0001,tourlousse
SRR17380243,33,0.5796,0.0133,7.9984,0.781,0.0212,100.0,0.893,0.0063151783489859,14.0,sunbeam,0.0001,tourlousse
SRR17380244,33,0.5812,0.0132,7.9924,0.7817,0.0211,100.0,0.8841,0.0064215381623757,14.0,sunbeam,0.0001,tourlousse
SRR17380245,34,0.592,0.0128,8.3659,0.7819,0.0207,100.0,0.897,0.0063671615489186,15.0,sunbeam,0.0001,tourlousse
SRR17380246,33,0.5808,0.0133,8.0115,0.781,0.0211,100.0,0.8908,0.0063107387914024,14.0,sunbeam,0.0001,tourlousse
SRR17380241,55,0.3941,0.0113,14.5447,0.6883,0.0237,89.4737,7.8838,0.1232940713269149,36.0,wgsa2,0.0001,tourlousse
SRR17380242,54,0.3827,0.0116,14.4304,0.6875,0.0242,89.4737,7.7462,0.1260111205844835,35.0,wgsa2,0.0001,tourlousse
SRR17380243,54,0.3929,0.0115,14.3513,0.6886,0.0238,89.4737,7.8264,0.1223574759874528,35.0,wgsa2,0.0001,tourlousse
SRR17380244,54,0.389,0.0115,14.2716,0.6895,0.0239,89.4737,7.7884,0.124125959702836,35.0,wgsa2,0.0001,tourlousse
SRR17380245,54,0.3913,0.0115,14.3851,0.6896,0.0239,89.4737,7.8189,0.1232399777196117,35.0,wgsa2,0.0001,tourlousse
SRR17380246,54,0.3909,0.0115,14.2907,0.6892,0.0239,89.4737,7.8492,0.1232991230956326,35.0,wgsa2,0.0001,tourlousse
SRR17380241,257,0.4704,0.0037,23.8272,0.5206,0.0116,94.7368,26.0628,0.0,238.0,woltka,0.0001,tourlousse
SRR17380242,264,0.474,0.0036,24.3616,0.5209,0.0113,94.7368,26.6495,0.0,245.0,woltka,0.0001,tourlousse
SRR17380243,258,0.4714,0.0037,23.9276,0.5209,0.0116,94.7368,26.063,0.0,239.0,woltka,0.0001,tourlousse
SRR17380244,257,0.4687,0.0037,23.8163,0.5199,0.0116,94.7368,26.0586,0.0,238.0,woltka,0.0001,tourlousse
SRR17380245,258,0.4693,0.0037,23.924,0.5199,0.0116,94.7368,26.0049,0.0,239.0,woltka,0.0001,tourlousse
SRR17380246,254,0.4683,0.0038,23.5638,0.52,0.0117,94.7368,26.0269,0.0,235.0,woltka,0.0001,tourlousse
EG,19,0.6417,0.0194,10.1826,0.8161,0.0301,85.7143,2.6645,0.0,5.0,biobakery3,0.0001,nist
EG,14,0.5175,0.0235,8.9446,0.8352,0.0347,92.8571,0.0,0.0,0.0,biobakery4,0.0001,nist
EG,25,0.3531,0.0229,12.2531,0.7135,0.0438,92.8571,0.2104,0.1569956363381312,11.0,jams,0.0001,nist
EG,28,0.6301,0.0185,10.6638,0.7412,0.0322,100.0,1.1601,0.0059205479289126,14.0,wgsa2,0.0001,nist
EG,240,0.3471,0.0046,22.5953,0.4494,0.0194,85.7143,26.4802,0.0,226.0,woltka,0.0001,nist
MIX-A,15,0.9899,0.0067,9.5852,0.9494,0.0127,81.8182,0.8464,0.0,4.0,biobakery3,0.0001,nist
MIX-A,11,0.9985,0.0041,2.8426,0.9775,0.0057,90.9091,0.0,0.0,0.0,biobakery4,0.0001,nist
MIX-A,14,0.8022,0.0325,12.3527,0.7725,0.0617,72.7273,0.052,0.0395475817472083,3.0,jams,0.0001,nist
MIX-A,25,0.7138,0.0193,6.9975,0.7593,0.0598,100.0,0.6781,0.0023922199955124,14.0,wgsa2,0.0001,nist
MIX-A,139,0.4367,0.008,19.242,0.4422,0.0374,90.9091,30.9152,0.0,128.0,woltka,0.0001,nist
MIX-B,16,0.7078,0.032,13.6522,0.7439,0.0632,72.7273,11.4154,0.0,5.0,biobakery3,0.0001,nist
MIX-B,12,0.9774,0.0134,9.814,0.9197,0.0191,72.7273,0.0141,0.0,1.0,biobakery4,0.0001,nist
MIX-B,15,0.9541,0.0168,13.5504,0.8743,0.0262,81.8182,0.2655,0.0484573168657752,4.0,jams,0.0001,nist
MIX-B,28,0.9675,0.008,13.0792,0.8885,0.0171,100.0,1.0866,0.0025255839466411,17.0,wgsa2,0.0001,nist
MIX-B,191,0.7597,0.005,22.8751,0.5217,0.0212,90.9091,31.0568,0.0,180.0,woltka,0.0001,nist
MIX-C,14,0.2719,0.0507,14.1087,0.6453,0.1118,63.6364,32.0567,0.0,3.0,biobakery3,0.0001,nist
MIX-C,12,0.1643,0.0749,11.569,0.5504,0.1363,63.6364,32.3094,0.0,1.0,biobakery4,0.0001,nist
MIX-C,18,0.4238,0.0472,17.1601,0.5748,0.089,90.9091,22.3335,0.0642473330738856,7.0,jams,0.0001,nist
MIX-C,27,0.4632,0.0309,14.702,0.5827,0.0836,100.0,9.162,0.002233973706629,16.0,wgsa2,0.0001,nist
MIX-C,147,0.062,0.0097,24.1026,0.2866,0.0478,81.8182,69.1682,0.0,136.0,woltka,0.0001,nist
