SampleID,Diversity,R^2,MAE,AD,1-BC,RMSE,Sens,FPRA,Pipeline,threshold,Source,Unclassified
SRR11487938,17,0.5844,0.0215,2.7547,0.817,0.0264,100.0,1.6046,jams,0.001,mixed,
SRR11487939,17,0.5669,0.0218,3.1795,0.8148,0.0268,100.0,2.9044,jams,0.001,mixed,
SRR11487940,17,0.5918,0.0212,2.6976,0.8194,0.0261,100.0,1.5831,jams,0.001,mixed,
SRR11487941,17,0.5835,0.0215,2.8662,0.8172,0.0263,100.0,1.9874,jams,0.001,mixed,
SRR11487937,17,0.5826,0.0216,2.7279,0.8161,0.0262,100.0,1.5759,jams202212,0.001,mixed,
SRR11487938,17,0.5893,0.0215,2.6397,0.8173,0.0264,100.0,1.2271,jams202212,0.001,mixed,
SRR11487939,17,0.5812,0.0217,3.0175,0.8156,0.0266,100.0,2.1234,jams202212,0.001,mixed,
SRR11487940,17,0.5976,0.0211,2.5725,0.8203,0.0261,100.0,1.1959,jams202212,0.001,mixed,
SRR11487941,17,0.5885,0.0215,2.7595,0.8172,0.0263,100.0,1.5797,jams202212,0.001,mixed,
SRR11487937,22,0.5068,0.0236,7.2852,0.7404,0.0338,100.0,9.9794,wgsa2,0.001,mixed,
SRR11487938,21,0.49,0.0247,7.3344,0.7408,0.0347,100.0,9.7167,wgsa2,0.001,mixed,
SRR11487939,21,0.4878,0.0248,7.1104,0.7393,0.035,100.0,9.8384,wgsa2,0.001,mixed,
SRR11487940,22,0.5106,0.0236,7.1542,0.7406,0.0337,100.0,9.9581,wgsa2,0.001,mixed,
SRR11487941,21,0.4905,0.0247,7.2823,0.7407,0.0348,100.0,9.7829,wgsa2,0.001,mixed,
SRR11487937,24,0.3072,0.0263,7.5269,0.6847,0.0371,93.75,8.4433,woltka,0.001,mixed,
SRR11487938,24,0.3035,0.0264,7.487,0.6828,0.0375,93.75,8.3852,woltka,0.001,mixed,
SRR11487939,24,0.3084,0.0261,7.4958,0.6867,0.0371,93.75,8.4681,woltka,0.001,mixed,
SRR11487940,24,0.3049,0.0264,7.4958,0.6837,0.0374,93.75,8.3877,woltka,0.001,mixed,
SRR11487941,24,0.3057,0.0263,7.5249,0.6844,0.0373,93.75,8.4888,woltka,0.001,mixed,
SRR11487931,11,0.9042,0.025,7.9837,0.8623,0.038,90.9091,0.0,biobakery3,0.01,hilo,
SRR11487932,11,0.8893,0.0245,7.0953,0.8654,0.0388,90.9091,0.0,biobakery3,0.01,hilo,
SRR11487933,12,0.8954,0.0215,9.866,0.8708,0.0349,90.9091,1.0804,biobakery3,0.01,hilo,
SRR11487934,12,0.8825,0.0211,9.3517,0.8732,0.0368,90.9091,1.0072,biobakery3,0.01,hilo,
SRR11487935,12,0.9002,0.0203,8.4631,0.8781,0.0336,90.9091,1.1855,biobakery3,0.01,hilo,
SRR11487931,11,0.9214,0.0311,1.8046,0.8291,0.0517,100.0,0.0,biobakery4,0.01,hilo,
SRR11487932,11,0.9168,0.0321,1.8583,0.8233,0.0518,100.0,0.0,biobakery4,0.01,hilo,
SRR11487933,11,0.9292,0.0288,1.6902,0.8413,0.0473,100.0,0.0,biobakery4,0.01,hilo,
SRR11487934,11,0.9232,0.0302,1.6995,0.834,0.0489,100.0,0.0,biobakery4,0.01,hilo,
SRR11487935,11,0.9306,0.0289,1.5318,0.8412,0.0467,100.0,0.0,biobakery4,0.01,hilo,
SRR11487931,11,0.8871,0.0309,2.2112,0.8298,0.0413,100.0,0.0,jams,0.01,hilo,
SRR11487932,11,0.8793,0.0313,2.2703,0.828,0.0421,100.0,0.0,jams,0.01,hilo,
SRR11487933,11,0.8945,0.0291,2.0827,0.84,0.0382,100.0,0.0,jams,0.01,hilo,
SRR11487934,11,0.8843,0.0304,2.1903,0.8326,0.0404,100.0,0.0,jams,0.01,hilo,
SRR11487935,11,0.9018,0.0288,2.0791,0.8414,0.0374,100.0,0.0,jams,0.01,hilo,
SRR11487931,11,0.8865,0.0309,2.1949,0.83,0.0412,100.0,0.0,jams202212,0.01,hilo,
SRR11487932,11,0.8794,0.0312,2.2574,0.8285,0.042,100.0,0.0,jams202212,0.01,hilo,
SRR11487933,11,0.8945,0.0291,2.0669,0.8402,0.0381,100.0,0.0,jams202212,0.01,hilo,
SRR11487934,11,0.884,0.0304,2.1788,0.8327,0.0403,100.0,0.0,jams202212,0.01,hilo,
SRR11487935,11,0.9012,0.0288,2.0681,0.8417,0.0373,100.0,0.0,jams202212,0.01,hilo,
SRR11487931,12,0.8967,0.0322,3.6857,0.8069,0.0448,100.0,3.0043,wgsa2,0.01,hilo,
SRR11487932,12,0.8942,0.0326,3.7267,0.8046,0.045,100.0,2.9962,wgsa2,0.01,hilo,
SRR11487933,12,0.9017,0.0309,3.6507,0.8144,0.0412,100.0,3.1538,wgsa2,0.01,hilo,
SRR11487934,12,0.899,0.0314,3.6486,0.8119,0.0424,100.0,3.0235,wgsa2,0.01,hilo,
SRR11487935,12,0.9053,0.0303,3.6284,0.8185,0.0402,100.0,3.2148,wgsa2,0.01,hilo,
SRR11487931,12,0.229,0.0665,6.0579,0.6009,0.0977,90.9091,11.1296,woltka,0.01,hilo,
SRR11487932,12,0.2109,0.068,6.1218,0.5922,0.1,90.9091,11.3425,woltka,0.01,hilo,
SRR11487933,12,0.2163,0.0668,6.0014,0.5994,0.0984,90.9091,10.9561,woltka,0.01,hilo,
