Genus,Count
Glaciibacter,1.44E-08
Sphingobium,1.44E-08
Alkalilimnicola,1.44E-08
Exiguobacterium,1.44E-08
Frischella,1.44E-08
Formosa,1.44E-08
Siansivirga,1.44E-08
Lactococcus,1.44E-08
Dyella,1.44E-08
Franconibacter,1.44E-08
Methylococcus,1.44E-08
Thalassomonas,1.44E-08
Fervidobacterium,1.44E-08
Candidatus Riesia,1.44E-08
Oerskovia,1.44E-08
Trabulsiella,1.44E-08
Ideonella,1.44E-08
Hafnia,1.44E-08
Fluviicola,1.44E-08
Blastomonas,1.44E-08
Burkholderia,1.44E-08
Candidatus Thiosymbion,1.44E-08
Fodinicurvata,1.44E-08
Candidatus Gullanella,1.44E-08
Salmonella,1.44E-08
Thiorhodospira,1.44E-08
Methylibium,1.44E-08
Candidatus Doolittlea,1.44E-08
Oceanibaculum,1.44E-08
Thiomonas,1.44E-08
Asanoa,1.44E-08
Actinoalloteichus,1.44E-08
Tistrella,1.44E-08
Alicycliphilus,1.44E-08
Prauserella,7.21E-09
Candidatus Portiera,7.21E-09
Humibacter,7.21E-09
Nesterenkonia,7.21E-09
Shuttleworthia,7.21E-09
Pasteurella,7.21E-09
Arcanobacterium,7.21E-09
Frigoribacterium,7.21E-09
Eubacterium,7.21E-09
Anaeromyxobacter,7.21E-09
Gemella,7.21E-09
Pseudarthrobacter,7.21E-09
Bacillus,7.21E-09
Terracoccus,7.21E-09
Aggregatibacter,7.21E-09
Euryhalocaulis,7.21E-09
Fabibacter,7.21E-09
Weissella,7.21E-09
Gallibacterium,7.21E-09
Rothia,7.21E-09
Dermatophilus,7.21E-09
Citricoccus,7.21E-09
Avibacterium,7.21E-09
Humibacillus,7.21E-09
Gryllotalpicola,7.21E-09
Chromobacterium,7.21E-09
Terrabacter,7.21E-09
Cupriavidus,7.21E-09
Segniliparus,7.21E-09
Piscirickettsia,7.21E-09
Microterricola,7.21E-09
Morococcus,7.21E-09
Reichenbachiella,7.21E-09
Suttonella,7.21E-09
Candidatus Moranella,7.21E-09
Polaromonas,7.21E-09
