Species,RA,TAX_ID
Gemella,4.42862768268735e-06,1378
Mucilaginibacter,4.42862768268735e-06,423349
Lysobacter,4.42862768268735e-06,68
Luteimonas,4.37590592456012e-06,83614
Hungatella,4.2177406501784285e-06,1649459
Anaerococcus,4.2177406501784285e-06,165779
Actinomyces,4.2177406501784285e-06,1654
Teredinibacter,4.112297133923968e-06,2425
Cardiobacterium,4.006853617669507e-06,2717
Globicatella,4.006853617669507e-06,13075
Stenoxybacter,4.006853617669507e-06,422440
Aquibacillus,3.901410101415047e-06,1647190
Pasteurella,3.901410101415047e-06,745
Alkaliphilus,3.901410101415047e-06,114627
Abiotrophia,3.795966585160586e-06,46123
Carboxydothermus,3.795966585160586e-06,129957
Fructobacillus,3.795966585160586e-06,559173
Streptomyces,3.743244827033356e-06,1883
Alkalimonas,3.6905230689061252e-06,265980
Bartonella,3.6905230689061252e-06,773
Basfia,3.6905230689061252e-06,697331
Thioalkalimicrobium,3.6905230689061252e-06,92244
Alkalibacillus,3.5850795526516645e-06,331654
Actinopolyspora,3.5850795526516645e-06,1849
Actinophytocola,3.5850795526516645e-06,695999
Massiliomicrobiota,3.5850795526516645e-06,1924110
Eggerthella,3.5850795526516645e-06,84111
Thiothrix,3.4796360363972038e-06,1030
Lactonifactor,3.4269142782699736e-06,420345
Parabacteroides,3.374192520142743e-06,375288
Erysipelatoclostridium,3.374192520142743e-06,1505663
Rhodopseudomonas,3.374192520142743e-06,1073
Fictibacillus,3.374192520142743e-06,1329200
Rothia,3.374192520142743e-06,32207
Lacimicrobium,3.2687490038882823e-06,1751872
Methylophaga,3.2687490038882823e-06,40222
Cellvibrio,3.2687490038882823e-06,10
Ruminiclostridium,3.2687490038882823e-06,1508657
Pontibacillus,3.1633054876338216e-06,289201
Johnsonella,3.057861971379361e-06,43994
Neptunomonas,3.057861971379361e-06,75687
Moellerella,3.057861971379361e-06,158848
Mycobacterium,3.057861971379361e-06,1763
Rouxiella,3.057861971379361e-06,1565532
Buchnera,3.057861971379361e-06,32199
Tatlockia,2.9524184551249e-06,465
Laribacter,2.9524184551249e-06,168470
Murdochiella,2.9524184551249e-06,1161127
Falsirhodobacter,2.9524184551249e-06,1434002
Candidatus Endoriftia,2.9524184551249e-06,393764
Halotalea,2.9524184551249e-06,376488
Endozoicomonas,2.8469749388704394e-06,305899
Ralstonia,2.8469749388704394e-06,48736
Cupriavidus,2.8469749388704394e-06,106589
Marichromatium,2.8469749388704394e-06,85076
Caviibacter,2.8469749388704394e-06,1792239
Anoxybacillus,2.8469749388704394e-06,150247
Desulfosporosinus,2.7942531807432092e-06,79206
Mannheimia,2.7415314226159786e-06,75984
Sphingobium,2.7415314226159786e-06,165695
Alcanivorax,2.7415314226159786e-06,59753
Rosenbergiella,2.6888096644887485e-06,1356488
Candidatus Arthromitus,2.636087906361518e-06,49082
Hydrogenovibrio,2.636087906361518e-06,28884
Allofustis,2.530644390107057e-06,192987
Desulfotomaculum,2.530644390107057e-06,1562
Deinococcus,2.4252008738525964e-06,1298
Histophilus,2.4252008738525964e-06,214906
Leminorella,2.4252008738525964e-06,82980
Salisediminibacterium,2.3197573575981357e-06,1434042
Hymenobacter,2.3197573575981357e-06,89966
Frateuria,2.3197573575981357e-06,70411
Aliiglaciecola,2.3197573575981357e-06,1406885
Cosenzaea,2.3197573575981357e-06,1354333
Candidatus Liberibacter,2.3197573575981357e-06,34019
Arthrobacter,2.3197573575981357e-06,1663
Xanthomonas,2.2670355994709056e-06,338
Marinilactibacillus,2.214313841343675e-06,191769
Marinobacterium,2.214313841343675e-06,48075
Microcystis,2.1088703250892142e-06,1125
Stenotrophomonas,2.1088703250892142e-06,40323
Subdoligranulum,2.1088703250892142e-06,292632
Salipaludibacillus,2.1088703250892142e-06,1884449
Halolactibacillus,2.1088703250892142e-06,306539
Blautia,2.0034268088347535e-06,572511
Thioflavicoccus,2.0034268088347535e-06,156885
Coprococcus,2.0034268088347535e-06,33042
Thioalkalivibrio,2.0034268088347535e-06,106633
Salibacterium,2.0034268088347535e-06,1884429
Janthinobacterium,2.0034268088347535e-06,29580
Arsukibacterium,2.0034268088347535e-06,336830
Alishewanella,2.0034268088347535e-06,111142
Gynuella,1.9507050507075234e-06,1445504
Sporolactobacillus,1.897983292580293e-06,2077
Fenollaria,1.897983292580293e-06,1686313
Achromatium,1.897983292580293e-06,44937
Budvicia,1.897983292580293e-06,82978
Allochromatium,1.897983292580293e-06,85072
Lentibacillus,1.897983292580293e-06,175304
Borrelia,1.7925397763258323e-06,138
Gordonia,1.7925397763258323e-06,2053
