Species,RA,TAX_ID
Massilia,0.00038684298106497175,149698
Hydrogenophaga,0.0003561026354345474,47420
Stenotrophomonas,0.00034439973192261394,40323
Shimwellia,0.00031996924671106615,1335483
Lamprocystis,0.0003030350913988675,53452
Microcystis,0.0003006621524379224,1125
Atlantibacter,0.000299961056835825,1903434
Franconibacter,0.00029958354381931106,1649295
Aquabacterium,0.00029429836158811526,92793
Cedecea,0.0002704071806858732,158483
Parvibaculum,0.00026474448543816343,256616
Methanosarcina,0.00026458269414537174,2207
Siccibacter,0.00026215582475349616,1649298
Sanguibacteroides,0.0002551448687325222,1635148
Castellaniella,0.00023060652265911324,359336
Ideonella,0.00021372629777784513,36862
Brachymonas,0.0002008908552163697,28219
Burkholderia,0.00019382596876446514,32008
Kinetoplastibacterium,0.00018320167387114305,33055
Mangrovibacter,0.00018260843913090678,451512
Paraburkholderia,0.00016675289243731948,1822464
Pusillimonas,0.00015742292788633106,305976
Nissabacter,0.00014733793730231464,1964366
Methyloglobulus,0.00014194489420925774,1410680
Dickeya,0.00013854727706063188,204037
Diaphorobacter,0.00013719901628736765,238749
Obesumbacterium,0.0001360664772378257,82982
Buttiauxella,0.00013115880802314393,82976
Photobacterium,0.0001286240777694072,657
Morganella,0.00012463322588054506,581
Lactococcus,0.00012069630442261353,1357
Kerstersia,0.00011524933089862605,257820
Providencia,0.00011249887892116703,586
Clostridium,0.00010791479229206866,1485
Herminiimonas,0.00010689011410438785,303379
Bibersteinia,0.00010581150548577647,476528
Streptobacillus,0.00010403180126506769,34104
Lysobacter,0.00010171279273505322,68
Pedobacter,0.00010009487980713616,84567
Spongiibacter,9.621188878013517e-05,630749
Janthinobacterium,9.621188878013517e-05,29580
Carnobacterium,9.335357594081502e-05,2747
Enhygromyxa,9.297606292430104e-05,215802
Pseudorhodoferax,9.151994128917568e-05,747294
Rhodopseudomonas,9.07649152561477e-05,1073
Thauera,8.558759388681308e-05,33057
Edwardsiella,8.52100808702991e-05,635
Delftia,8.445505483727112e-05,80865
Rhizobacter,8.262142018563178e-05,212743
Chromobacterium,7.825305528025569e-05,535
Sodalis,7.566439459558837e-05,84565
Ottowia,7.517902071721326e-05,219181
Thioalkalivibrio,7.420827296046301e-05,106633
Sphingomonas,7.388469037487959e-05,13687
Oceanospirillum,6.935453417671179e-05,965
Ramlibacter,6.757482995600301e-05,174951
Piscirickettsia,6.579512573529424e-05,1237
Alcaligenes,6.299074332690465e-05,507
Alicycliphilus,6.191213470829327e-05,201096
Aliivibrio,6.14806912608487e-05,511678
Bavariicoccus,6.0563873935029036e-05,697279
Azoarcus,5.9647056609209365e-05,12960
Streptomyces,5.953919574734823e-05,1883
Advenella,5.943133488548709e-05,290425
Alcanivorax,5.8730239283389694e-05,59753
Neisseria,5.80291436812923e-05,482
Brenneria,5.7921282819431154e-05,71655
Curvibacter,5.754376980291717e-05,281915
Methyloversatilis,5.7058395924542054e-05,378210
Crocosphaera,5.6249439460583513e-05,263510
Rahnella,5.4577596101735873e-05,34037
Actinophytocola,5.420008308522189e-05,695999
Arthrobacter,5.3876500499638476e-05,1663
Variovorax,5.317540489754108e-05,34072
Actinopolyspora,5.263610058823539e-05,1849
Gilliamella,5.2420378864513116e-05,1193503
Pectobacterium,5.198893541706856e-05,122277
Pseudoxanthomonas,5.155749196962401e-05,83618
Carboxydothermus,5.101818766031832e-05,129957
Tumebacillus,5.091032679845718e-05,432330
Xanthomonas,4.9993509472637506e-05,338
Thiomonas,4.945420516333182e-05,32012
Rugamonas,4.929241387054011e-05,212744
Pseudacidovorax,4.7728431373553605e-05,433923
Tatumella,4.691947490959507e-05,82986
Aquincola,4.648803146215052e-05,391952
Knoellia,4.557121413633085e-05,136099
Mucilaginibacter,4.535549241260857e-05,423349
Atopostipes,4.37375794846915e-05,292480
Mitsuaria,4.368364905376093e-05,65047
Tyzzerella,4.368364905376093e-05,1506577
Chania,4.287469258980239e-05,1745211
Polaromonas,4.201180569491329e-05,52972
Methylibium,4.125677966188532e-05,316612
Corynebacterium,4.114891880002418e-05,1716
Plesiomonas,3.9962449319551666e-05,702
Pragia,3.985458845769052e-05,82984
Francisella,3.931528414838483e-05,262
Halomonas,3.9153492855593125e-05,2745
Bradyrhizobium,3.834453639163459e-05,374
Salinivibrio,3.812881466791232e-05,51366
Melaminivora,3.672662346371752e-05,1649468
Tetragenococcus,3.661876260185638e-05,51668
