genus,SRR540392,tax_id
RHODOCYCLUS,0.0,1064
SISTOTREMASTRUM,0.0,139133
RHODOPIRELLULA,0.0,265488
RHODOTHERMUS,0.0,29548
RHODOTORULA,0.0,5533
RAOULTELLA,0.0,160674
RAMARIA,0.0,68779
RALSTONIA,0.0,48736
RACOCETRA,0.0,940663
QUADRISPHAERA,0.0,317661
SPELEOSTELIUM,0.0,2058950
QIPENGYUANIA,0.0,1855416
SPHAEROCHAETA,0.0,399320
PYTHIUM,0.0,4797
SPHINGOBACTERIUM,0.0,28453
PYRRHODERMA,0.0,175660
SPHINGOBIUM,0.0,165695
SPIRIBACTER,0.0,1335745
PYRICULARIA,0.0,48558
PYRENOPHORA,0.0,5027
PYRENOCHAETA,0.0,285810
SPONGIACTINOSPORA,0.0,2871671
RHYNCHOSPORIUM,0.0,38037
ROBINSONIELLA,0.0,588605
SPORISORIUM,0.0,63265
SACCHAROMONOSPORA,0.0,1851
RUMINICLOSTRIDIUM,0.0,1508657
SEINONELLA,0.0,292637
SEGETIBACTER,0.0,460073
SEDIMINIBACTERIUM,0.0,504481
SEDIMENTIBACTER,0.0,190972
SCUTELLOSPORA,0.0,27382
SCISCIONELLA,0.0,596495
RODENTIBACTER,0.0,1960084
SALAQUIMONAS,0.0,2712688
SALINIBACTERIUM,0.0,235888
SALINISPHAERA,0.0,180541
SALINISPIRA,0.0,1616789
SALINISPORA,0.0,168694
SALITERRIBACILLUS,0.0,1434043
RUGAMONAS,0.0,212744
RUFICOCCUS,0.0,2175957
RUDAEICOCCUS,0.0,1434038
RUDAEA,0.0,886360
RUCTIBACTERIUM,0.0,2884634
RUBRIVIVAX,0.0,28067
RUBNERIBACTER,0.0,2126002
RUBELLIMICROBIUM,0.0,295418
RUANIA,0.0,626119
SHARPEA,0.0,519427
ROSEIBIUM,0.0,150830
SHIMAZUELLA,0.0,471798
SHUTTLEWORTHIA,0.0,177971
SIMINOVITCHIA,0.0,2837510
ROSEATELES,0.0,93681
SINORHIZOBIUM,0.0,28105
ROMBOUTSIA,0.0,1501226
SPORIDIOBOLUS,0.0,5001
SPOROBACTER,0.0,44748
THALASSOBACULUM,0.0,526215
PREVOTELLAMASSILIA,0.0,1926672
TAXOMYCES,0.0,42741
TANNERELLA,0.0,195950
PORPHYROMONAS,0.0,836
POTERIOOCHROMONAS,0.0,88166
TALAROMYCES,0.0,5094
TAIBAIELLA,0.0,1434702
PRIESTIA,0.0,2800373
SYNECHOCOCCUS,0.0,1129
PROCHLOROCOCCUS,0.0,1218
SYNSTELIUM,0.0,2065790
PROLIFERODISCUS,0.0,47811
PROPIONISPIRA,0.0,84034
PROTEINIBORUS,0.0,415014
SYNERGISTES,0.0,2753
TEPHROCYBE,0.0,117062
TEPIDIMONAS,0.0,114248
TERFEZIA,0.0,74855
POLYPORUS,0.0,5637
POLYMORPHOSPORA,0.0,338583
SCHEFFERSOMYCES,0.0,766733
POLARELLA,0.0,89956
PLEUROTUS,0.0,5320
PLEOMORPHOMONAS,0.0,261933
PLEOCHAETA,0.0,57461
PLECTOSPHAERELLA,0.0,40657
PLASMOPARA,0.0,4780
PLASMODIUM,0.0,5820
TESSARACOCCUS,0.0,72763
TETRAHYMENA,0.0,5890
PLANOCOCCUS,0.0,1372
TETRAPYRGOS,0.0,182061
PROTOMYCES,0.0,27331
PSEUDOALTEROMONAS,0.0,53246
SPOROFACIENS,0.0,2811390
SPOROSARCINA,0.0,1569
PSEUDORHODOFERAX,0.0,747294
STENOTROPHOMONAS,0.0,40323
PSEUDORUEGERIA,0.0,311411
STAPHYLOCOCCUS,0.0,1279
PSEUDOXANTHOMONAS,0.0,83618
SPOROTHRIX,0.0,29907
SPOROMUSA,0.0,2375
SYMBIODINIUM,0.0,2949
PSEUDOZYMA,0.0,63298
PSYCHRILYOBACTER,0.0,623282
PSYCHROBACILLUS,0.0,1221880
PSYCHROBACTER,0.0,497
PSYCHROFLEXUS,0.0,83612
PUCCINIA,0.0,5296
PSEUDORHODOBACTER,0.0,238783
STOMATOBACULUM,0.0,1213720
STREPTACIDIPHILUS,0.0,228398
STREPTOBACILLUS,0.0,34104
PSEUDONOCARDIA,0.0,1847
STROBILURUS,0.0,41250
PSEUDOMARIMONAS,0.0,2905128
SUILLUS,0.0,5379
SULFITOBACTER,0.0,60136
PSEUDOGRACILIBACILLUS,0.0,1494958
SULFURITORTUS,0.0,1938335
PSEUDOFLAVITALEA,0.0,1884792
PSEUDODESULFOVIBRIO,0.0,2035811
SULFUROVUM,0.0,265570
SUTTERELLA,0.0,40544
PSEUDOBUTYRIVIBRIO,0.0,46205
PSEUDOBACTEROIDES,0.0,1486726
MYXOCOCCUS,0.0,32
LONGIBACULUM,0.0,1918538
MYCOSPHAERELLA,0.0,41254
CAMINICELLA,0.0,166484
CENTIPEDA,0.0,82202
CEPHALOASCUS,0.0,27310
CERATOBASIDIUM,0.0,5251
CETRASPORA,0.0,940661
CHAETOMIUM,0.0,5149
CHELATOCOCCUS,0.0,28209
CHITINOPHAGA,0.0,79328
CHONDROMYCES,0.0,50
CHROMULINA,0.0,2997
CHRYSEOBACTERIUM,0.0,59732
CICERIBACTER,0.0,1648508
CITRICOCCUS,0.0,169133
CITRIFERMENTANS,0.0,2883512
CITROBACTER,0.0,544
CLADOPHIALOPHORA,0.0,82105
CLAROIDEOGLOMUS,0.0,1129545
CLATHRUS,0.0,112985
CLAVARIA,0.0,104242
CLAVIBACTER,0.0,1573
CELLULOMONAS,0.0,1707
CECEMBIA,0.0,1187078
CAVENDERIA,0.0,2058187
CANTHARELLUS,0.0,36065
CANDIDATUS_BORKFALKIA,0.0,2508948
CANDIDATUS_GROMOVIELLA,0.0,2900571
CANDIDATUS_IZIMAPLASMA,0.0,1912503
CANDIDATUS_MARITHRIX,0.0,1031282
CANDIDATUS_ROSEILINEA,0.0,1979385
CANDIDATUS_SOLEAFERREA,0.0,1470353
CANDIDATUS_STOQUEFICHUS,0.0,1470349
CANDIDATUS_SULFOTELMATOBACTER,0.0,2136116
CAPNOCYTOPHAGA,0.0,1016
CAULIFIGURA,0.0,2795778
CAPROICIBACTER,0.0,2576755
CAPROICIBACTERIUM,0.0,2834348
CARNOBACTERIUM,0.0,2747
CATELLATOSPORA,0.0,53365
CATELLICOCCUS,0.0,300418
CATENIBACTERIUM,0.0,135858
CATENULISPORA,0.0,414878
CATONELLA,0.0,43996
CLAVICEPS,0.0,5110
CLONOSTACHYS,0.0,110564
COLIBACTER,0.0,1980675
DEVOSIA,0.0,46913
DEINOCOCCUS,0.0,1298
DENTISCUTATA,0.0,756610
DESULFALLAS,0.0,2282740
DESULFOFARCIMEN,0.0,2282742
DESULFOSARCINA,0.0,2299
DESULFOSEDIMINICOLA,0.0,2886823
DESULFOSPIRA,0.0,53328
DETHIOBACTER,0.0,427925
DICTYOSTELIUM,0.0,5782
DEFLUVIITALEA,0.0,1185408
DIVERSISPORA,0.0,308926
DRACONIBACTERIUM,0.0,1471399
DUNCANIELLA,0.0,2518495
DUODENIBACILLUS,0.0,1980697
DYELLA,0.0,231454
DYSGONOMONAS,0.0,156973
ECTOTHIORHODOSPIRA,0.0,1051
EDAPHOBACTER,0.0,388463
DEHALOBACTERIUM,0.0,51514
DECHLOROMONAS,0.0,73029
COMPANILACTOBACILLUS,0.0,2767879
CORYNESPORA,0.0,59585
CONEXIBACTER,0.0,191494
CONIDIOBOLUS,0.0,34487
CONIOCHAETA,0.0,79808
COPRINUS,0.0,5345
COPROBACILLUS,0.0,100883
COPROBACTER,0.0,1348911
CORALLOCOCCUS,0.0,83461
CORYNEBACTERIUM,0.0,1716
CRATERILACUIBACTER,0.0,2870907
DAKARELLA,0.0,1987748
CRONOBACTER,0.0,413496
CRYOBACTERIUM,0.0,69578
CUPRIAVIDUS,0.0,106589
CURTOBACTERIUM,0.0,2034
CURVIBACTER,0.0,281915
CYSTEINIPHILUM,0.0,2056696
CYSTOBASIDIUM,0.0,203525
CYSTOFILOBASIDIUM,0.0,5410
CANDIDATUS_ARTHROMITUS,0.0,49082
CALORANAEROBACTER,0.0,171003
MYCOPLASMOPSIS,0.0,2767358
CALONECTRIA,0.0,57138
AGATHOBACTER,0.0,1766253
AGGREGATIBACTER,0.0,416916
AGROMYCES,0.0,33877
ALBOPHOMA,0.0,1635094
ALCANIVORAX,0.0,59753
ALIARCOBACTER,0.0,2321111
ALIIKANGIELLA,0.0,1920241
ALIIRUEGERIA,0.0,2854181
ALKALICELLA,0.0,2838170
ALLONOCARDIOPSIS,0.0,1647181
ALLOPREVOTELLA,0.0,1283313
ALTERIBACILLUS,0.0,1433300
ALTERINIOELLA,0.0,2840314
ALTERNARIA,0.0,5598
AMINIPILA,0.0,2060094
AMORPHOTHECA,0.0,5100
AMYCOLATOPSIS,0.0,1813
ANAEROBACTERIUM,0.0,1486725
ANAEROCOCCUS,0.0,165779
